Item_Name,class,Brand,Weight,Number of units,Size of units,Price,T.Price,Pack,Unit
Classic Pretzel Ketchup80/85gm ,Chips & Crackers,Classic,80-85gm,1,,,,كيس,gm
برجر بقري ميتلاند - 10 قطع,Beef & Processed Meat,ميتلاند,,10,,,,عبوة,
علبة وسط,Furniture,,,1,وسط,,,علبة,وسط
زي جو شيبس بالجبنة 55-65 جم,Chips & Crackers,زي جو,55-65جم,1,,,,كيس,جم
المروة مخلل ليمون مصري 1 كجم,"Tins, Jars & Packets",المروة ,1كجم,1,,,,عبوة,كجم
شويبس يوسفى 250 مل زجاج,Soft Drinks & Juices,شويبس,250مل,1,,,,زجاج,مل
Al-Ameed Lebanese Mix Coffee With Cardamom - 200gram,"Tea, Coffee & Hot Drinks",Al-Ameed,200g,1,,,,عبوة,g
ميل فاي اولكر بالمربي - 24 جم,Biscuits & Cakes,اولكر,24جم,1,,,,عبوة,جم
بسكويت محشو بالتمر من لوكس، 6 قطع *6,Biscuits & Cakes,لوكس,,12,,,,عبوة,
جهينة عصير برتقال 1لتر,Soft Drinks & Juices,جهينة,1لتر,1,,,,زجاجة,لتر
توست كرسبى,Bakery,,,1,,,,كيس,
regina penne pas ,"Rice, Pasta & Pulses",regina,,1,,,,كيس,
فانتا برتقال كانز,Soft Drinks & Juices,فانتا,,1,,,,كانز,
Imtenan Gunpowder Green Tea 100 gm,"Tea, Coffee & Hot Drinks",Imtenan,100جم,1,,,,علبة,جم
بسكويت اوريو 3ق,Biscuits & Cakes,اوريو,,3,,,,باكو,
فيرن زبده 1 ك+علبة ,Cooking Ingredients,فيرن,1ك,1,,,,علبة,ك
تفاح احمر بولندي ١ كجم تقريبا,Vegetables & Fruits,,1كجم,1,,,,,كجم
Roshen Lacmi Milk Chocolate - 90 Gram,"Chocolates, Sweets & Desserts",Roshen,90gm,1,,,,عبوة,gm
سفن اب فرى 0.97 لتر,Soft Drinks & Juices,سفن اب,0.97لتر,1,,,,زجاجة,لتر
طماطم شيري - 500 جرام,Vegetables & Fruits,,500جرام,1,,,,عبوة,جرام
أحمد تي شاي اخضر 250 جم,"Tea, Coffee & Hot Drinks",أحمد تي,250جم,1,,,,عبوة,جم
المراعى زبادى طبيعى,Dairy & Eggs,المراعى,,1,,,,عبوة,
Domty Istanbouli Plus Sandwich,Bakery,Domty,,1,,,,باكو,
سحلب حراز بالمكسرات - 250 جرام,"Tea, Coffee & Hot Drinks",حراز,250جم,1,,,,عبوة,جم
9.00 4.50 2 مولتو ماجنم تشيز كيك فراولة 1ق,Bakery,مولتو,,2,,4.5,9,كيس,
برتقال بلدى عصير 1 كجم,Soft Drinks & Juices,,1كجم,1,,,,عبوة,كجم
بيور 1لتر اناناس ,Soft Drinks & Juices,بيور,1لتر,1,,,,زجاجة,لتر
كوكو لافرز كوكيز شيكولاتة,Biscuits & Cakes,كوكو لافرز,,1,,,,باكو,
مياه نستلة فوارة بالليمون - 0.36 لتر,Water,نستلة,0.36لتر,1,,,,زجاجة,لتر
Rich BakeToast Milk500g ,Bakery,Rich Bake,500g,1,,,,كيس,g
تونه مفتته صن شاين 185جم,"Tins, Jars & Packets",صن شاين,185جم,1,,,,علبة,جم
منعم الأقمشة حديقة الأحلام - 2 لتر,Cleaning Supplies,,2لتر,1,,,,زجاجة,لتر
هيرمان كاتشب بارد340جم,"Sauces, Dressings & Condiments",هيرمان,340جم,1,,,,عبوة,جم
ايطاليانو مكرونه ,"Rice, Pasta & Pulses",ايطاليانو,,1,,,,كيس,
فيروز تفاح 350 مل كانز,Soft Drinks & Juices,فيروز,350مل,1,,,,كانز,مل
كندوز,Beef & Processed Meat,,,1,,,,عبوة,
صافي مياه 660مللي,Water,صافي,660مللي,1,,,,زجاجة,مللي
مياه فوارة نستله بيور فيز بالليمون - 0.36 لتر - عبوة من 12,Water,نستله,0.36لتر,12,,,,عبوة,لتر
"Danone Activia Light Yogurt, 120 Gm",Dairy & Eggs,Danone,120gm,1,,,,عبوة,gm
لافيدا كاتشب بارد 430جم,"Sauces, Dressings & Condiments",لافيدا,430جم,1,,,,عبوة,جم
Top Value Sunflower Oil - 1L,Cooking Ingredients,Top Value,1L,1,,,,زجاجة,L
لوكس سوبر بسكويت ساده 50 جرام علبه 12 باكو,Biscuits & Cakes,لوكس,50جرام,12,,,,علبه,جرام
Egyptian Cheese Cooked Meat Salad Approximately 300g,Bakery,Egyptian,300g,1,,,,باكو,g
كاليفورنيا فول مدمس مصفى سهل الفتح 450جم,"Tins, Jars & Packets",كاليفورنيا,450جم,1,,,,عبوة,جم
Tai Hua Naturally Brewed Dark Soy Sauce - 640ml,"Sauces, Dressings & Condiments",Tai Hua,640ml,1,,,,عبوة,ml
شيبس بطعم البسطرمة المدخنة ,Chips & Crackers,شيبس,,1,,,,كيس,
بريتزل جبنة وزن 45.00 0.33 14.85,Chips & Crackers,,0.33جم,1,,14.85,45,كيس,جم
Queen Small Ring Pasta - 350 grams,"Rice, Pasta & Pulses",Queen,350 grams,1,,,,كيس,grams
جراندوز كوفي جولد 50جم,"Tea, Coffee & Hot Drinks",جراندوز,50جم,1,,,,علبة,جم
Azima Yellow Lentils 500g,"Rice, Pasta & Pulses",Azima,500g,1,,,,كيس,g
مكرونه خواتم 350جرام,"Rice, Pasta & Pulses",,,1,,,,كيس,
Sauce Caesar 2,"Sauces, Dressings & Condiments",,,2,,,,عبوة,
بيبسى كانز,Soft Drinks & Juices,بيبسي,,1,,,,كانز,
خوخ طعميه,Vegetables & Fruits,,,1,,,,عبوة,
زجاجه برود ,Furniture,,,1,,,,زجاجه,
الملكه شعريه 400 ج,"Rice, Pasta & Pulses",الملكه,400ج,1,,,,كيس,ج
دايت بيبسى كانز,Soft Drinks & Juices,بيبسي,,1,,,,كانز,
Fresh Chicken Breast Boneless 500g,Poultry,,500g,1,,,,عبوة,g
أطياب لانشون دجاج - 250 جرام,Beef & Processed Meat,أطياب,250جرام,1,,,,عبوة,جرام
دبل دير مشروب غازى بطعم التروبيكال 275مل,Soft Drinks & Juices,دبل دير,275مل,1,,,,عبوة,مل
حلوانى لحم رومى جاهز مدخن الوزن,Poultry,حلوانى,,1,,,,عبوة,
مياه صغيره /عدد,Water,,,1,,,,زجاجة,
بيك رولز حلو حار3 ج,Chips & Crackers,بيك رولز,,1,,3,3,كيس,
11.41 Sauce EX.Caramel 1,"Sauces, Dressings & Condiments",,,1,,11.41,11.41,عبوة,
بيبسى كانز 355 مم,Soft Drinks & Juices,بيبسي,355مم,1,,,,كانز,مم
لافاش جبنة مثلثات 16 قطعة,Dairy & Eggs,لافاش,,16,,,,علبة,
تمرى شيش طاووك 1000 جم,Poultry,تمرى,1000جم,1,,,,عبوة,جم
لوتس بسكويت بالفانيليا 150 جرام ,Biscuits & Cakes,لوتس,150جرام,1,,,,باكو,جرام
شطة ابو علي - 100 جم,Cooking Ingredients,ابو علي,100جم,1,,,,عبوة,جم
قرفة عيدان ملفوفة الخطيب ,Cooking Ingredients,الخطيب,,1,,,,عبوة,
سناك ريالتو طعم الكريمة الحامضة والبصل,Chips & Crackers,ريالتو,,1,,,,كيس,
شيفي ميكس مرقه لحم 150جم,Cooking Ingredients,شيفي ميكس,150جم,1,,,,عبوة,جم
اليمنى بن محومج فاتح 100جم,"Tea, Coffee & Hot Drinks",اليمنى,100جم,1,,,,عبوة,جم
polishing brush soft 1 pc,Cleaning Supplies,,,1,,,,عبوة,
دان جوس عصير ليمون ونعناع 1 لتر,Soft Drinks & Juices,دان جوس,1لتر,1,,,,,لتر
ثوم بودرة من باب الشام 50 جم,Cooking Ingredients,باب الشام,50جم,1,,,,عبوة,جم
الرحاب خميره 10جم,"Tins, Jars & Packets",,10جم,1,,,,علبة,جم
Viva Apple Nectar Juice 1Litre,Soft Drinks & Juices,Viva,1Liter,1,,,,عبوة,Liter
SHAHD CHICKEN FILET SPICY 800 G,Poultry,SHAHD,800G,1,,,,عبوة,G
ستار مكرونه اسباجيتى 400ج,"Rice, Pasta & Pulses",ستار,400ج,1,,,,كيس,ج
هاينز خل طبيعى 1لتر *2ق شرنك,"Sauces, Dressings & Condiments",هاينز,1لتر,2,,,,عبوة,لتر
الملكه مكرونة خواتم مشرشر، 1 كيلو,"Rice, Pasta & Pulses",الملكه,1كيلو,1,,,,كيس,كيلو
فوطه زجاج ,Cleaning Supplies,,,1,,,,زجاج,
ابو الليل تفاح احمر-اصفر-ايطالي وزن,Vegetables & Fruits,ابو الليل,,1,,,,عبوة,
Telal Green Olive Pitted - 720 Gram,"Tins, Jars & Packets",Telal ,720Gram,1,,,,عبوة,Gram
الندى جبنة بيضاء حارة 450 جم,Dairy & Eggs,الندى,450جم,1,,,,عبوة,جم
ورق لورى 100 جم,Cooking Ingredients,,100جم,1,,,,عبوة,جم
لانشون بقري بالفلفل الأسود من حلواني,Beef & Processed Meat,حلواني,,1,,,,عبوة,
11.25 1Kg Rings Big Pasta Elmaleka,"Rice, Pasta & Pulses",Elmaleka,,1,,,,كيس,
جهينة عصير كلاسيك لتر - علبه,Soft Drinks & Juices,جهينه,1لتر,1,,,,علبه,لتر
أرز مصري توب فاليو - 10ك,"Rice, Pasta & Pulses",توب فاليو,10ك,1,,,,كيس,ك
كريمه طبخ جران كوسينا,Dairy & Eggs,جران كوسينا,,1,,,,عبوة,
زبادى جهينه طبيعى ,Dairy & Eggs,جهينه,,1,,,,عبوة,
دلما شاي قوي سيلاني فاخر 200 جم,"Tea, Coffee & Hot Drinks",دلما,200جم,1,,,,عبوة,جم
Indian Basmati Rice - 1 kg,"Rice, Pasta & Pulses",,1kg,1,,,,كيس,kg
العروسه شاى 250ج,"Tea, Coffee & Hot Drinks",العروسه,250جم,1,,,,عبوة,جم
بربيكان شراب شعير بالاناناس زجاج 330 مل,Soft Drinks & Juices,بربيكان,330مل,1,,,,كان,مل
فارم فريتس بطاطس ستيك هاوس 750 جم,Vegetables & Fruits,فارم فريتس,750جم,1,,,,عبوة,جم
WHITE CASTLE CHOCO CHIP 400GM,Biscuits & Cakes,WHITE CASTLE,400gm,1,,,,عبوة,gm
اوريو بسكويت الكاكاو بكريمه,Biscuits & Cakes,اوريو,,1,,,,باكو,
TIGER EXTRA NACHO CHEESE 65G,Chips & Crackers,TIGER,65G,1,,,,كيس,G
فريماز سناكس بالجبنه والبصل 30 جم,Chips & Crackers,فريماز,30جم,1,,,,أكياس,جم
ابتجال خل طبيعي 925مل,"Sauces, Dressings & Condiments",ابتجال,925مل,1,,,,عبوة,مل
فلفيتا بخاخ مزيل البقع - 700 مل,Cleaning Supplies,فلفيتا,700مل,1,,,,عبوة,مل
+مج زجاج بالغطاء |-8238,Furniture,,,1,,,,زجاج,
اريال يدوى 1 كيلو جرام,Cleaning Supplies,اريال,1كيلو جرام,1,,,,,جرام
الملكة مكرونة شعرية 400جم,"Rice, Pasta & Pulses",الملكة,400جم,1,,,,كيس,جم
بلوماتس سردين فى زيت ليمون 160جم,"Tins, Jars & Packets",بلوماتس,160جم,1,,,,علبة,جم
Rana Apple Vinager 474 Ml ,"Sauces, Dressings & Condiments",Rana,474ml,1,,,,عبوة,ml
سبرايت 950مل بلاستيك ,Soft Drinks & Juices,سبرايت,950مل,1,,,,زجاجة,مل
خلطة شيش طواووك,Cooking Ingredients,,,1,,,,عبوة,
هاريبو تركيا جيلى ورمس,"Chocolates, Sweets & Desserts",هاريبو,,1,,,,عبوة,
كاتشب من ماك، 285 جرام,"Sauces, Dressings & Condiments",ماك,285جرام,1,,,,عبوة,جرام
ستار مكرونه اسباجتي,"Rice, Pasta & Pulses",ستار,,1,,,,كيس,
Apple Vinegar - 250 ML.,"Sauces, Dressings & Condiments",,250ml,1,,,,عبوة,ml
غندور بسكويت ويفر بالفانيليا 5 قطع,Biscuits & Cakes,غندور,,5,,,,باكو,
اوريو بسكويت الكاكاو بكريمه \ 57GM,Biscuits & Cakes,اوريو,57GM,1,,,,باكو,GM
Balsamic Vinegar – 250ml,"Sauces, Dressings & Condiments",,250ml,1,,,,عبوة,ml
بيبسى كانز 330 مللى,Soft Drinks & Juices,بيبسي,330مللى,1,,,,كانز,مللى
كوكا زجاجة 300 م,Soft Drinks & Juices,كوكا,300م,1,,,,زجاجة,م
قراقيش بالعجوه \ملبن,Bakery,,,1,,,,كيس,
FREYMAS SNACK BARBECUE FLAVOUR ,Chips & Crackers,FREYMAS,,1,,,,كيس,
عصير بيتى جوافه235,Soft Drinks & Juices,بيتى,235مل,1,,,,عبوة,مل
باكيت بقسماط حبه,Bakery,,,1,,,,باكو,
امريكانا بسلة سادة 400 جم,Vegetables & Fruits,امريكانا,400جم,1,,,,عبوة,جم
سبرايت حجم وسط ,Soft Drinks & Juices,سبرايت,,1,,,,زجاجة,
جولد كابتشينو سريع التحضير غير محلاة من نسكافيه – 18.5 جرام,"Tea, Coffee & Hot Drinks",نسكافيه,18.5جرام,1,,,,علبة,جرام
مكفيتز بسكويت 8ق *12,Biscuits & Cakes,مكفيتز,,8,,,,باكو,
زجاجه كحول بخاخ,"Personal care, skin & body care",,,1,,,,زجاجه,
حلوانى روست رومى وزن,Poultry,حلوانى,,1,,,,عبوة,
علبه 2 قطعه شوكوبون,"Personal care, skin & body care",,,2,,,,علبه,قطعه
درة كاتشب اسطوانة حار 300جم,"Sauces, Dressings & Condiments",درة,300جم,1,,,,عبوة,جم
شيبسى سوبر الملك ملح ٤٤ 00,Chips & Crackers,شيبسى,0.44ج,1,,,,كيس,ج
Givrex Frozen Peas And Carrots - 400 Gram ,Vegetables & Fruits,Givrex,400gm,1,,,,كيس,gm
امتنان ينسون 16فتله,"Tea, Coffee & Hot Drinks",امتنان,,16,,,,عبوة,
اوريو بسكويت بالحليب 6 قطع 66 جم,Biscuits & Cakes,اوريو,66جم,6,,,,باكو,جم
METCO Alexandrian liver 400 gm ,Beef & Processed Meat,METCO,400gm,1,,,,عبوة,gm
وادى فوود صدور فراخ مجمده 950جم,Poultry,وادى فوود,950جم,1,,,,عبوة,جم
بيضة كبيرة - للأولاد - عبوة من 6 قطع,"Chocolates, Sweets & Desserts",,,6,,,,عبوة,
بسكويت القمح مكفيتيز دايجستف بشوكولاتة الحليب - 200 جم,Biscuits & Cakes,مكفيتيز دايجستف,200جم,1,,,,عبوة,جم
لايمز جاردن ماء ورد 300م,Cooking Ingredients,لايمز جاردن,300جم,1,,,,عبوة,جم
بيبسى الهضبه زجاج 350 مللى ,Soft Drinks & Juices,بيبسي,350مللى,1,,,,زجاج,مللى
نسكافيه 3*1 بندق 18جم  24 ق مج,"Tea, Coffee & Hot Drinks",نسكافيه,18جم,24,,,,علبة,جم
علب بيتزا مستورده 30 سم,Bakery,,30سم,1,,,,علب,سم
French Dressing - 237ml,"Sauces, Dressings & Condiments",,237ml,1,,,,عبوة,ml
live green Pretzels Ketchup Fl ,Chips & Crackers,live green,,1,,,,كيس,
"Domty Fino Bread, 5 Pieces",Bakery,Domty,,5,,,,باكو,
قطعه ايس كريم سنكرز,"Chocolates, Sweets & Desserts",سنكرز,,1,,,,,
Tiger Family Seasoned Cheese Chips 51-55g,Chips & Crackers,Tiger,51-55g,1,,,,كيس,g
لولو بيض بني طازج كبير 30 قطعة,Dairy & Eggs,لولو,,1,,,,,قطعة
لبنيتا حليب كامل 16.00 4 64.00,Dairy & Eggs,لبنيتا,,4,,16,64,علبة,
ميتكو فرانكفورتر 25قطعه 1 كجم,Beef & Processed Meat,ميتكو,1كجم,25,,,,عبوة,كجم
Nestle Pure Life Immunity Water - 500ml x12,Water,Nestle,500ML,12,,,,زجاجة,ML
Taste Roasted Turkey Strips with Paprika,Poultry,Taste,,1,,,,عبوة,
بان كبير رانش ,Bakery,,,1,,,,كيس,
كبد دجاج من وطنية - 1 كجم,Poultry,وطنية,,1,,,,عبوة,
فن داي بوبو بو ستيكس مع شوكولاتة بيضاء 23 جم,Biscuits & Cakes,فن داي,23جم,1,,,,باكو,جم
جهينه لبن 1.5 ل ,Dairy & Eggs,جهينه,1.5لتر,1,,,,عبوة,لتر
هاينز هوت صوص 165 جم,"Sauces, Dressings & Condiments",هاينز,165جم,1,,,,عبوة,جم
Kiri Cream Cheese Spread 200g,Dairy & Eggs,Kiri,200G,1,,,,عبوة,G
صلصه هاينز,"Tins, Jars & Packets",هاينز,,1,,,,علبة,
قرص مينى حمص سمسم ,Bakery,,,1,,,,كيس,
بانيه دجاج وزن 106.95 1.11 118.71,Poultry,,1.11,1,,106.95,118.71,عبوة,
Sahlab Powder 250g Approx. Weight,"Tea, Coffee & Hot Drinks",,250gm,1,,,,عبوة,gm
Sauce Caesar 2,"Sauces, Dressings & Condiments",,,2,,,,عبوة,
بسمة بروكلى 400 جم,Vegetables & Fruits,بسمة,400جم,1,,,,عبوة,جم
مياه دساني 1.5,Water,دساني,1.5لتر,1,,,,زجاجة,لتر
خلطة الكفتة كنور - 35 جم,Cooking Ingredients,كنور,35جم,1,,,,عبوة,جم
دانون مشروب ماكس خوخ 220ج,Soft Drinks & Juices,دانون,220ج,1,,,,زجاجة,ج
Choice Flax Seed oil 500g ,Cooking Ingredients,Choice,500g,1,,,,عبوة,g
برجر لحم من ثري شيف،1 كجم,Beef & Processed Meat,ثري شيف،,1كجم,1,,,,عبوة,كجم
Cheetos Spicy Tomato Popcorn 72g,Chips & Crackers,Cheetos,72g,1,,,,كيس,g
ريتش بيك توست بالردة 27.00 1 00,Bakery,ربتش بيك,,1,,27,27,كيس,
مكفتيز قمح مينى ,Biscuits & Cakes,مكفتيز,,1,,,,باكو,
علبه باذنجان مخلل كبير,"Tins, Jars & Packets",,,1,كبير,,,علبه,كبير
Nido Milk Powder Forti Grow 25g,Dairy & Eggs,Nido,25g,1,,,,عبوة,g
حلوانى لحم بقرى جاهز وزن,Beef & Processed Meat,حلوانى,,1,,,,عبوة,
باندا جبنه فيتا لايت 500جم ,Dairy & Eggs,باندا,500جم,1,,,,عبوة,جم
فلفل شطه عطاره 15كيلو,Cooking Ingredients,,1.5كجم,1,,,,عبوة,كجم
بيبسى كولا 1لتر,Soft Drinks & Juices,بيبسى,1لتر,1,,,,زجاجة,لتر
شيفي ميكس كاتشب طماطم ٤٠ 17.75 1 17.75,"Sauces, Dressings & Condiments",شيفي ميكس,40ج,1,,17.75,17.75,عبوة,ج
عبور لاند لبن الدسم 1 لتر 20.95 1 14.95,Dairy & Eggs,عبور لاند,1لتر,1,,14.95,20.95,علبة,لتر
مياه معدنية x 2,Water,,,2,,,,زجاجة,
أورينتال سوبر رينج بالجبنة 60جم,Chips & Crackers,أورينتال,60جم,1,,,,كيس,جم
فيبا بلس سائل تنظيف الأطباق مضاد للبكتيريا - 520 جم,Cleaning Supplies,فيبا,520جم,1,,,,عبوة,جم
بيبيتو مارشميلو قوس قزح تويست 135 جم,"Chocolates, Sweets & Desserts",بيبيتو,135جم,1,,,,عبوة,جم
Misr Cafe Mehawega Coffee 10 x 25g,"Tea, Coffee & Hot Drinks",Misr Cafe,25g,10,,,,عبوة,g
نسله مياه معدنيه1.5لتر,Water,نسله,1.5لتر,1,,,,زجاجة,لتر
لانشون لحم بقرى بالزيتون ,Beef & Processed Meat,,,1,,,,عبوة,
Pizza Slice Mat - 1.75m X 1.45m,Bakery,,,1,,,,كيس,
نستله مياه بيور لايف 1.5 لتر,Water,نستله,1.5لتر,1,,,,زجاجة,لتر
ماجي خلطه شاورما دجاج 40جم,Cooking Ingredients,ماجي,40جم,1,,,,عبوة,جم
بسمة قرنبيط 400 جم,Vegetables & Fruits,بسمة,400جم,1,,,,عبوة,جم
قهوة اسبريسو مطحونة  - 250 جم,"Tea, Coffee & Hot Drinks",,250جم,1,,,,عبوة,جم
توب شيف عجينه كريب,Bakery,توب شيف,,1,,,,كيس,
"Milk Powder Full Cream , Bag 300 Gm",Dairy & Eggs,,300gm,1,,,,عبوة,gm
Elite Chocolate Wafer - 12 Pieces,Biscuits & Cakes,Elite,,12,,,,باكو,
روستو حبش أطياب رومي 150.00 0.155 23.25,Poultry,روستو,0.155,1,,23.25,150,عبوة,
Abu Aouf Maamul Baku Chocolate ,"Chocolates, Sweets & Desserts",Abu Aouf,,1,,,,عبوة,
خص بلدى,Vegetables & Fruits,,,1,,,,كيس,
دومتى خبز فينو سادهخ 5قطع,Bakery,دومتى,,5,,,,كيس,
ام &امز سودانى,"Chocolates, Sweets & Desserts",ام &امز,,1,,,,عبوة,
جبنة جودة فريكو,Dairy & Eggs,فريكو,,1,,,,عبوة,
هاينز ١٩٠ جم شيلى صوص 16.00 1 16.00,"Sauces, Dressings & Condiments",هاينز,,1,,16,16,عبوة,
فتنس توستيز زيتون جم36 Quantity ,Chips & Crackers,فتنس,36جم,1,,2,2,كيس,جم
المطبخ ارز مصرى 5كيلو,"Rice, Pasta & Pulses",المطبخ,5كيلو,1,,,,كيس,كيلو
Atyab Chicken Wings - 700 gram,Poultry,Atyab,700gram,1,,,,عبوة,gram
21.00 500 gm Regular Toast Bake Rich,Bakery,Rich bake,500gm,1,,21,21,,gm
احمد اكياس الشاي الاخضر ١٠٠ حبه,"Tea, Coffee & Hot Drinks",احمد,,100,,,,عبوة,
برنجلز بطاطس شيبسى ,Chips & Crackers,برنجلز,,1,,,,كيس,
"Aqua Delta Natural Water, 600 ml - Set of 12",Water,Aqua Delta,600ml,12,,,,زجاجة,ml
رقائق بطاطس كرانشى بالطماطم ,Chips & Crackers,كرانشى,,1,,,,كيس,
سبرايت كانز,Soft Drinks & Juices,سبرايت,,1,,,,كانز,
ريجينا مكرونه انواع 400 جم لسان عصفور,"Rice, Pasta & Pulses",ريجينا,400جم,1,,,,كيس,جم
بلاستيك كامل الدسم ,Dairy & Eggs,,,1,,,,بلاستيك,
Pearl Water 450ml,Water,Pearl,450ml,1,,,,زجاجة,ml
سبرايت,Soft Drinks & Juices,سبرايت,,1,,,,زجاجة,
حبوب افطار نسكويك مع علبه غذغء,Breakfast Cereals & Bars,نسكويك,,1,,,,علبه,
بيبسى كانز دايت 330 مل,Soft Drinks & Juices,بيبسي,330مل,1,,,,كانز,مل
Bake Stix Cheese Crackers - 40 gram - 30 Pieces,Chips & Crackers,Bake Stix,40 gram,30,,,,كيس,gram
Rose Water - 250 Ml,Water,,250Ml,1,,,,زجاجة,Ml
برقوق احمر مستورد الوزن,Vegetables & Fruits,,,1,,,,كيس,
دسانى جالون 18.90 لتر,Water,دسانى,18.9لتر,1,,,,زجاجة,لتر
شورتى بسكوت بسكاتو 3.95 1 3.95,Biscuits & Cakes,بسكاتو,,1,,3.95,3.95,باكو,
Pineapple Mat - 2.16m x 1.24m,Vegetables & Fruits,,,1,,,,كيس,
زبادو طبيعى 105جم,Dairy & Eggs,,105gm,1,,,,عبوة,gm
ميرندا كانز,Soft Drinks & Juices,ميرندا,,1,,,,زجاجة,
روتس شاي 50ق,"Tea, Coffee & Hot Drinks",روتس,,50,,,,علبة,
مكفتيز بسكريم كوكيز 30جم,Biscuits & Cakes,مكفتيز بسكريم,30جم,1,,,,باكو,جم
هاداى صويا صوص غامق 150مل,"Sauces, Dressings & Condiments",هاداى,150مل,1,,,,عبوة,مل
بامية صن شاين، فاخرة - 400 جم,Vegetables & Fruits,صن شاين,400جم,1,,,,عبوة,جم
سي كمارا بسكويت بالكاكاو محشو مارشملو,Biscuits & Cakes,سي كمارا,,1,,,,باكو,
Vent Blueberry Chewing Gum 8 tablets - Pack of 12 Pcs,"Chocolates, Sweets & Desserts",Vent,,12,,,,عبوة,
توابل شرقية بانية 68.00 0.510 34.68,Cooking Ingredients,,0.51,1,,34.68,68,عبوة,
جبنه جوده,Dairy & Eggs,,,1,,,,عبوة,
ايلوو مايونيز كلاسيك، 500 جرام,"Sauces, Dressings & Condiments",ايلوو,500جم,1,,,,عبوة,جم
زجاجه مياه نسله كبيره,Water,نسله,,1,,,,زجاجة,
مياه ٥.٠٠ ٤.٣٩ ٢١.٩٥,Water,,,5,,4.39,21.95,زجاجة,
لاكتيل زبادى طبيعى 105جم 5+!,Dairy & Eggs,لاكتيل,105gm,6,,,,عبوة,gm
جهينه مشروب كلاسى,Soft Drinks & Juices,جهينه,,1,,,,زجاجة,
هش طعم ضد النمل - 3 قطع,Cleaning Supplies,,,3,,,,زجاجة,
A.M.R Peeled Tomatoes - 400 Gram,Vegetables & Fruits,A.M.R,400gm,1,,,,كيس,gm
قوت القلوب سمن كجم ,Cooking Ingredients,قوت القلوب,,1,,,,عبوة,
10.00 WATER,Water,,,1,,10,10,زجاجة,
عيش بلدي 4 ق,Bakery,,,4,,,,كيس,
هارفست صلصة طماطم - 3كجم,"Tins, Jars & Packets",هارفست,3كجم,1,,,,عبوة,كجم
علبه شمعدان الشبح ,Furniture,شمعدان,,1,,,,علبه,
ويفر لواكر تورتينا بكريمة شوكولاتة البندق - 21 جم,Biscuits & Cakes,لواكر,21جم,1,,,,باكو,جم
بيبسى \ايت 330 مل كانز,Soft Drinks & Juices,بيبسي,330مل,1,,,,كانز,مل
Ferrero Collection T24 ,"Chocolates, Sweets & Desserts",Ferrero,,24,,,,عبوة,
spark 1 ing water,Water,,,1,,,,زجاجة,
Juhayna Zabado Wild Berries Yogurt 220g,Dairy & Eggs,Juhayna,220g,1,,,,عبوة,g
"Rich Bake Lebanese Bread, 200g",Bakery,Rich Bake,200g,1,,,,كيس,g
Nestle Pure Life Natural Water - 330 ml,Water,Nestle,330ml,1,,,,زجاجة,ml
شهد دجاج فيليه حار، 800 جرام,Poultry,شهد,800جرام,1,,,,عبوة,جرام
شويبس رمان 1لتر,Soft Drinks & Juices,شويبس,1لتر,1,,,,زجاجة,لتر
كرتون 1.5 لتر *12 زجاجه,Furniture,,1.5لتر ,12,,,,زجاجه,لتر 
ريتر سبورت شوكولاتة بالفراولة - 100 جم,"Chocolates, Sweets & Desserts",ريتر سبورت,100جم,1,,,,عبوة,جم
Royal Mint Herbal Tea - 20 Count,"Tea, Coffee & Hot Drinks",Royal,,20,,,,علبة,
MR.KRISPS RINGS SNACKS JALAPENO80G,Chips & Crackers,MR.KRISPS,80G,1,,,,كيس,G
لاكتيل حليب خالى الدسم 1 لتر 6 ق,Dairy & Eggs,لاكتيل,1لتر,1,,,,,ق
رو بطاطس جبنه شيدر وكرات 45,Chips & Crackers,رو,45جم,1,,,,كيس,جم
قتيليو جبن فيتا ,Dairy & Eggs,قتيليو,,1,,,,عبوة,
المراعي مشروب زبادي فراولة 220مل Quantity,Dairy & Eggs,المراعي,220مل,1,,,,عبوة,مل
كونو بطعم الجبنة الحريفة 85.75جم,Chips & Crackers,كونو,85.75جم,1,,,,كيس,جم
مزارع دينا حليب بالبلح,Dairy & Eggs,مزارع دينا,,1,,,,عبوة,
Diatosta Toastgrill Wheat Biscuits Packet - 225 grams,Bakery,Diatosta,225G,1,,,,عبوة,G
طبق غسيل بلاستيك طباعه مقاس 40 سم ,Furniture,,40سم,1,,,,بلاستيك,سم
ماى تونه سكيب جاك قطع س,"Tins, Jars & Packets",ماى تونه,,1,,,,علبة,
مسحوق اتوماتيك 9ك ,Cleaning Supplies,,9ك,1,,,,عبوة,ك
خبز لينانى ريتش بيك,Bakery,ريتش بيك,,1,,,,كيس,
Bisco Misr Super Luxe Biscuit 8pcs,Biscuits & Cakes,Bisco Misr,,8,,,,باكو,
Irish Mild White Cheddar 250g,Dairy & Eggs,,250gm,1,,,,عبوة,gm
كندوز حواوشى قطعه,Beef & Processed Meat,,,1,,,,عبوة,
المراعي زبادي لايت 170جم,Dairy & Eggs,المراعي,170جرام,1,,,,عبوة,جرام
باكيت ك,Bakery,,,1,,,,باكو,
ريتش بيك بقسماط مطحون 450 1 13.50 13.50,Bakery,ربتش بيك,450ج,1,,13.5,13.5,كيس,ج
علبه نسكافيه 3 *1 كراميل,Tea and Coffee,نسكافيه,,1,,,,علبه,
